features,location,price
 270 m²  270 m²  3 hab.  2 baños  2 estac. ,"El Batán, Quito",USD 225.000
 154 m²  145 m²  3 hab.  2 baños  2 estac. ,"Amagasí, Quito",USD 122.000
 158 m²  150 m²  4 hab.  3 baños  1 estac. ,"Los Chillos, Quito",USD 92.000
 1814 m²  614 m²  4 hab.  6 baños  6 estac. ,"Cumbayá, Quito",USD 1.500.000
 250 m²  195 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 235.000
 400 m²  358 m²  3 hab.  3 baños  6 estac. ,"Nayón - Tanda, Quito",USD 497.500
 531 m²  322 m²  4 hab.  4 baños  4 estac. ,"Ruta Viva, Quito",USD 432.000
 450 m²  300 m²  3 hab.  3 baños  3 estac. ,"Lumbisí, Quito",USD 350.000
 90 m²  90 m²  3 hab.  2 baños  1 estac. ,"La Armenia, Quito",USD 85.000
 1000 m²  91 m²  3 hab.  2 baños ,"Guayllabamba, Quito",USD 130.000
 500 m²  481 m²  4 hab.  3 baños ,"Conocoto, Quito",USD 450.000
 158 m²  141 m²  3 hab.  3 baños  2 estac. ,"Los Chillos, Quito",USD 120.000
 1200 m²  400 m²  4 hab.  5 baños  3 estac. ,"Puembo, Quito",USD 4.300
 611 m²  286 m²  3 hab.  4 baños  3 estac. ,"Pomasqui, Quito",USD 249.999
 4170 m²  915 m²  3 hab.  4 baños  8 estac. ,"Tumbaco, Quito",USD 2.500.000
 198 m²  186 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 158.000
 110 m²  82 m²  3 hab.  2 baños  1 estac. ,"Conocoto, Quito",USD 75.800
 291 m²  197 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 209.000
 1060 m²  370 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 570.000
 1400 m²  1400 m²  18 hab.  7 baños  2 estac. ,"Centro de Quito, Quito",USD 790.000
 97 m²  9 m²  3 hab.  1 baño  1 estac. ,"Mitad del Mundo, Quito",USD 75.000
 155 m²  86 m²  3 hab.  2 baños  1 estac. ,"La Armenia, Quito",USD 79.990
 247 m²  178 m²  3 hab.  2 baños  2 estac. ,"Sangolqui, Quito",USD 145.000
 200 m²  200 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 257.000
 319 m²  218 m²  4 hab.  4 baños  2 estac. ,"Nayón - Tanda, Quito",USD 274.000
 398 m²  143 m²  4 hab.  3 baños  2 estac. ,"Los Chillos, Quito",USD 185.000
 253 m²  242 m²  4 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 165.000
 170 m²  170 m²  2 hab.  2 baños  3 estac. ,"Tumbaco, Quito",USD 199.000
 286 m²  206 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 215.000
 281 m²  256 m²  5 hab.  3 baños  2 estac. ,"San Isidro - Vista Grande, Quito",USD 135.000
 312 m²  232 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 300.000
 140 m²  140 m²  3 hab.  2 baños  1 estac. ,"Los Chillos, Quito",USD 125.000
 115 m²  115 m²  3 hab.  3 baños  2 estac. ,"Conocoto, Quito",USD 105.000
 820 m²  520 m²  4 hab.  4 baños  4 estac. ,"Tumbaco, Quito",USD 1.200.000
 387 m²  298 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 360.000
 259 m²  167 m²  3 hab.  2 baños  2 estac. ,"Sangolqui, Quito",USD 139.500
 209 m²  112 m²  3 hab.  2 baños  2 estac. ,"Los Chillos, Quito",USD 130.000
 337 m²  215 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 220.000
 317 m²  203 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 265.000
 482 m²  482 m²  3 hab.  4 baños  4 estac. ,"Tumbaco, Quito",USD 599.000
 2057 m²  1420 m²  5 hab.  5 baños  5 estac. ,"Cumbayá, Quito",USD 1.150.000
 100 m²  2 hab.  2 baños  1 estac. ,"Llano Chico, Quito",USD 89.000
 799 m²  350 m²  3 hab.  3 baños  7 estac. ,"Sangolqui, Quito",USD 400.000
 500 m²  450 m²  4 hab.  4 baños  4 estac. ,"Los Chillos, Quito",USD 420.000
 760 m²  550 m²  6 hab.  6 baños  3 estac. ,"Nayón - Tanda, Quito",USD 490.000
 2000 m²  320 m²  4 hab.  4 baños  3 estac. ,"Centro Norte, Quito",USD 498.000
 900 m²  500 m²  4 hab.  5 baños  4 estac. ,"Cumbayá, Quito",USD 690.000
 14041 m²  550 m²  4 hab.  4 baños  2 estac. ,"Cumbayá, Quito",USD 1.180.000
 414 m²  414 m²  3 hab.  3 baños  2 estac. ,"Monjas, Quito",USD 260.000
 853 m²  530 m²  3 hab.  5 baños  8 estac. ,"Tumbaco, Quito",USD 586.000
 2724 m²  585 m²  7 hab.  4 baños  8 estac. ,"Los Chillos, Quito",USD 655.000
 150 m²  94 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 430
 780 m²  425 m²  4 hab.  3 baños  6 estac. ,"Sangolqui, Quito",USD 345.000
